"id","fdc_id","fdc_id_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"40703","343628","","8","0.5","6008","Soup, beef broth or bouillon canned, ready-to-serve","C","10205","1 cup","120","0","0"
"40704","343628","343866","9","0.25","82101000","Vegetable oil, NFS","C","10205","1 cup","54.5","0","4"
"40705","343628","","10","0.5","11292","Onions, young green, tops only","C","21000","1 tablespoon","48","3785","0"
"40706","343629","","1","18.4","11168","Corn, sweet, yellow, cooked, boiled, drained, without salt","GM","0","NONE","18.4","0","0"
"40707","343629","","2","18.4","11125","Carrots, cooked, boiled, drained, without salt","GM","0","NONE","18.4","0","0"
"40708","343629","","3","18.4","11053","Beans, snap, green, cooked, boiled, drained, without salt","GM","0","NONE","18.4","0","0"
"40709","343629","","4","18.4","20081","Wheat flour, white, all-purpose, enriched, bleached","GM","0","NONE","18.4","305","0"
"40710","343629","","5","7.3","4651","Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor","GM","0","NONE","7.3","0","0"
"40711","343629","","6","6","14429","Beverages, water, tap, municipal","GM","0","NONE","6","0","0"
"40712","343629","","7","5.1","20016","Corn flour, whole-grain, yellow","GM","0","NONE","5.1","305","0"
"40713","343629","","8","5.1","20061","Rice flour, white, unenriched","GM","0","NONE","5.1","305","0"
"40714","343629","","9","1.5","2047","Salt, table","GM","0","NONE","1.5","0","0"
"40715","343629","","10","0.3","16122","Soy protein isolate","GM","0","NONE","0.3","0","0"
"40716","343629","","11","0.2","2029","Spices, parsley, dried","GM","0","NONE","0.2","0","0"
"40717","343629","","12","0.2","11283","Onions, cooked, boiled, drained, without salt","GM","0","NONE","0.2","0","0"
"40718","343629","","13","0.2","19335","Sugars, granulated","GM","0","NONE","0.2","0","0"
"40719","343629","","14","0.2","18375","Leavening agents, yeast, baker's, active dry","GM","0","NONE","0.2","0","0"
"40720","343629","","15","0.2","20027","Cornstarch","GM","0","NONE","0.2","0","0"
"40721","343629","","16","0.1","19335","Dextrose","GM","0","NONE","0.1","0","2"
"40722","343629","","17","0.1","18372","Leavening agents, baking soda","GM","0","NONE","0.1","0","0"
"40723","343629","","18","0.1","1091","Milk, dry, nonfat, regular, without added vitamin A and vitamin D","GM","0","NONE","0.1","2151","0"
"40724","343630","","1","0.219","11135","Cauliflower, raw","LB","0","NONE","99.338","3780","0"
"40725","343630","","2","0.219","11090","Broccoli, raw","LB","0","NONE","99.338","3780","0"
"40726","343630","","3","0.219","11333","Peppers, sweet, green, raw","LB","0","NONE","99.338","3780","0"
"40727","343630","","4","0.219","11507","Sweet potato, raw, unprepared","LB","0","NONE","99.338","3465","0"
"40728","343630","","5","0.219","11052","Beans, snap, green, raw","LB","0","NONE","99.338","3780","0"
"40729","343630","","6","0.219","11260","Mushrooms, white, raw","LB","0","NONE","99.338","3780","0"
"40730","343630","","7","0.219","11477","Squash, summer, zucchini, includes skin, raw","LB","0","NONE","99.338","3780","0"
"40731","343630","","8","0.219","11282","Onions, raw","LB","0","NONE","99.338","3465","0"
"40732","343630","","9","3","1125","Egg, yolk, raw, fresh","","62740","1 large egg yolk","51","103","0"
"40733","343630","","10","2","14429","Beverages, water, tap, municipal","C","10205","1 cup","474","0","0"
"40734","343630","","11","2.5","20081","Wheat flour, white, all-purpose, enriched, bleached","C","10205","1 cup","312.5","301","0"
